---Part B Optimiser---
Log created at: 00-36-51--2018-10-26
Created by Jamie on JAMIE-DESKTOP
Computer: JAMIE-DESKTOP
OS: Windows_NT
Processors: 4
Threads: 4
Negative Ct found: Ct=-0.020318, a=-0.048811, adash=-0.001290 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.048811, adash=-0.001290 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.048811, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
Negative Ct found: Ct=-0.020742, a=-0.058548, adash=-0.001314 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.058548, adash=-0.001314 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.058548, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
Negative Ct found: Ct=-0.020441, a=-0.065743, adash=-0.001293 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.065743, adash=-0.001293 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.065743, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
Negative Ct found: Ct=-0.019623, a=-0.070171, adash=-0.001239 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.070171, adash=-0.001239 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.070171, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
Negative Ct found: Ct=-0.018451, a=-0.071757, adash=-0.001164 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.071757, adash=-0.001164 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.071757, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
Negative Ct found: Ct=-0.017042, a=-0.070476, adash=-0.001074 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.070476, adash=-0.001074 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.070476, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
Negative Ct found: Ct=-0.001355, a=0.012156, adash=-0.000087 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
S1 adash Limit Reached: a=0.009018, adash=-0.000206 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
S1 Loop Limit Reached: a=0.009018, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
Negative Ct found: Ct=-0.010445, a=-0.006256, adash=-0.000670 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.006256, adash=-0.000670 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.006256, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
Negative Ct found: Ct=-0.015882, a=-0.022558, adash=-0.001015 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.022558, adash=-0.001015 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.022558, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
Negative Ct found: Ct=-0.018876, a=-0.036813, adash=-0.001202 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.036813, adash=-0.001202 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.036813, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
